name,timestamp,value,device,endpoint,id,image,instance,job,major,metrics_path,minor,name,namespace,node,operation,pod,service
container_blkio_device_usage_total,"[1650030636.301, '12238442496']","[1650030666.301, '12342075904']","[1650030696.301, '12345356800']","[1650030726.301, '12347286016']","[1650030756.301, '12352672256']","[1650030786.301, '12354519552']","[1650030816.301, '12356350464']","[1650030846.301, '12444992000']","[1650030876.301, '12450193920']","[1650030906.301, '12451770880']","[1650030936.301, '12454679040']","[1650030966.301, '12456382976']","[1650030996.301, '12459909632']","[1650031026.301, '12465488384']",/dev/sda,https-metrics,/,,10.1.0.135:10250,kubelet,8,/metrics/cadvisor,0,,,fv-az241-934,Async,,kubelet
container_blkio_device_usage_total,"[1650030636.301, '3103162368']","[1650030666.301, '3204886528']","[1650030696.301, '3207028736']","[1650030726.301, '3207180288']","[1650030756.301, '3211419648']","[1650030786.301, '3211493376']","[1650030816.301, '3211575296']","[1650030846.301, '3298803712']","[1650030876.301, '3303043072']","[1650030906.301, '3303170048']","[1650030936.301, '3305299968']","[1650030966.301, '3305426944']","[1650030996.301, '3307565056']","[1650031026.301, '3308146688']",/dev/sda,https-metrics,/,,10.1.0.135:10250,kubelet,8,/metrics/cadvisor,0,,,fv-az241-934,Discard,,kubelet
container_blkio_device_usage_total,"[1650030636.301, '2219528704']","[1650030666.301, '2230931968']","[1650030696.301, '2231828992']","[1650030726.301, '2233311744']","[1650030756.301, '2233909760']","[1650030786.301, '2236523008']","[1650030816.301, '2237944320']","[1650030846.301, '2240066048']","[1650030876.301, '2240451072']","[1650030906.301, '2242961920']","[1650030936.301, '2243203584']","[1650030966.301, '2243387904']","[1650030996.301, '2243609088']","[1650031026.301, '2303078912']",/dev/sda,https-metrics,/,,10.1.0.135:10250,kubelet,8,/metrics/cadvisor,0,,,fv-az241-934,Read,,kubelet
container_blkio_device_usage_total,"[1650030636.301, '4912075776']","[1650030666.301, '4938798080']","[1650030696.301, '4941534208']","[1650030726.301, '4943410176']","[1650030756.301, '4944368640']","[1650030786.301, '4947383296']","[1650030816.301, '4949046272']","[1650030846.301, '4958831616']","[1650030876.301, '4959790080']","[1650030906.301, '4962497536']","[1650030936.301, '4963066880']","[1650030966.301, '4963709952']","[1650030996.301, '4964279296']","[1650031026.301, '5029245952']",/dev/sda,https-metrics,/,,10.1.0.135:10250,kubelet,8,/metrics/cadvisor,0,,,fv-az241-934,Sync,,kubelet
container_blkio_device_usage_total,"[1650030636.301, '17150518272']","[1650030666.301, '17280873984']","[1650030696.301, '17286891008']","[1650030726.301, '17290696192']","[1650030756.301, '17297040896']","[1650030786.301, '17301902848']","[1650030816.301, '17305396736']","[1650030846.301, '17403823616']","[1650030876.301, '17409984000']","[1650030906.301, '17414268416']","[1650030936.301, '17417745920']","[1650030966.301, '17420092928']","[1650030996.301, '17424188928']","[1650031026.301, '17494734336']",/dev/sda,https-metrics,/,,10.1.0.135:10250,kubelet,8,/metrics/cadvisor,0,,,fv-az241-934,Total,,kubelet
container_blkio_device_usage_total,"[1650030636.301, '11827827200']","[1650030666.301, '11845055488']","[1650030696.301, '11848033280']","[1650030726.301, '11850204160']","[1650030756.301, '11851711488']","[1650030786.301, '11853886464']","[1650030816.301, '11855877120']","[1650030846.301, '11864953856']","[1650030876.301, '11866489856']","[1650030906.301, '11868136448']","[1650030936.301, '11869242368']","[1650030966.301, '11871278080']","[1650030996.301, '11873014784']","[1650031026.301, '11883508736']",/dev/sda,https-metrics,/,,10.1.0.135:10250,kubelet,8,/metrics/cadvisor,0,,,fv-az241-934,Write,,kubelet
container_blkio_device_usage_total,"[1650030636.301, '512000']","[1650030666.301, '512000']","[1650030696.301, '565248']","[1650030726.301, '618496']","[1650030756.301, '618496']","[1650030786.301, '724992']","[1650030816.301, '733184']","[1650030846.301, '786432']","[1650030876.301, '839680']","[1650030906.301, '892928']","[1650030936.301, '892928']","[1650030966.301, '999424']","[1650030996.301, '1007616']","[1650031026.301, '1060864']",/dev/sda,https-metrics,/kubepods,,10.1.0.135:10250,kubelet,8,/metrics/cadvisor,0,,,fv-az241-934,Async,,kubelet
container_blkio_device_usage_total,"[1650030636.301, '0']","[1650030666.301, '0']","[1650030696.301, '0']","[1650030726.301, '0']","[1650030756.301, '0']","[1650030786.301, '0']","[1650030816.301, '0']","[1650030846.301, '0']","[1650030876.301, '0']","[1650030906.301, '0']","[1650030936.301, '0']","[1650030966.301, '0']","[1650030996.301, '0']","[1650031026.301, '0']",/dev/sda,https-metrics,/kubepods,,10.1.0.135:10250,kubelet,8,/metrics/cadvisor,0,,,fv-az241-934,Discard,,kubelet
container_blkio_device_usage_total,"[1650030636.301, '20052992']","[1650030666.301, '28990464']","[1650030696.301, '29490176']","[1650030726.301, '30727168']","[1650030756.301, '31194112']","[1650030786.301, '33528832']","[1650030816.301, '33885184']","[1650030846.301, '34618368']","[1650030876.301, '34814976']","[1650030906.301, '37202944']","[1650030936.301, '37313536']","[1650030966.301, '37485568']","[1650030996.301, '37641216']","[1650031026.301, '37841920']",/dev/sda,https-metrics,/kubepods,,10.1.0.135:10250,kubelet,8,/metrics/cadvisor,0,,,fv-az241-934,Read,,kubelet
container_blkio_device_usage_total,"[1650030636.301, '37714944']","[1650030666.301, '46652416']","[1650030696.301, '47152128']","[1650030726.301, '48389120']","[1650030756.301, '48856064']","[1650030786.301, '51190784']","[1650030816.301, '51547136']","[1650030846.301, '52280320']","[1650030876.301, '52476928']","[1650030906.301, '54864896']","[1650030936.301, '54975488']","[1650030966.301, '55147520']","[1650030996.301, '55303168']","[1650031026.301, '55503872']",/dev/sda,https-metrics,/kubepods,,10.1.0.135:10250,kubelet,8,/metrics/cadvisor,0,,,fv-az241-934,Sync,,kubelet
container_blkio_device_usage_total,"[1650030636.301, '38226944']","[1650030666.301, '47164416']","[1650030696.301, '47717376']","[1650030726.301, '49007616']","[1650030756.301, '49474560']","[1650030786.301, '51915776']","[1650030816.301, '52280320']","[1650030846.301, '53066752']","[1650030876.301, '53316608']","[1650030906.301, '55757824']","[1650030936.301, '55868416']","[1650030966.301, '56146944']","[1650030996.301, '56310784']","[1650031026.301, '56564736']",/dev/sda,https-metrics,/kubepods,,10.1.0.135:10250,kubelet,8,/metrics/cadvisor,0,,,fv-az241-934,Total,,kubelet
