name,timestamp,value,container,device,endpoint,id,image,instance,job,metrics_path,name,namespace,node,pod,service
container_fs_reads_bytes_total,"[1650030636.301, '0']","[1650030666.301, '0']","[1650030696.301, '0']","[1650030726.301, '0']","[1650030756.301, '0']","[1650030786.301, '0']","[1650030816.301, '0']","[1650030846.301, '0']","[1650030876.301, '0']","[1650030906.301, '0']","[1650030936.301, '0']","[1650030966.301, '0']","[1650030996.301, '0']","[1650031026.301, '0']",grafana,/dev/sda,https-metrics,/kubepods/burstable/pod6bb10893-36db-4e95-a612-ebacfa77cd47/3d906609f144644a548743095bedee0073b5e6ebc27c3ad8d0b620ee78045db2,docker.io/grafana/grafana@sha256:c328587322a83c38384cb3799387c3eb3c5b96d31ca5579439400694868f5007,10.1.0.135:10250,kubelet,/metrics/cadvisor,3d906609f144644a548743095bedee0073b5e6ebc27c3ad8d0b620ee78045db2,monitoring,fv-az241-934,grafana-7476b4c65b-sdsfp,kubelet
container_fs_reads_bytes_total,"[1650030666.301, '1642496']","[1650030696.301, '1642496']","[1650030726.301, '1642496']","[1650030756.301, '1642496']","[1650030786.301, '1642496']","[1650030816.301, '1642496']","[1650030846.301, '1642496']","[1650030876.301, '1642496']","[1650030906.301, '1642496']","[1650030936.301, '1642496']","[1650030966.301, '1642496']","[1650030996.301, '1642496']","[1650031026.301, '1642496']",k6,/dev/sda,https-metrics,/kubepods/besteffort/pod110be6a4-8688-4142-bd2d-275da0de7b52/8817e7e3b2d726f8fa8c30043e96299c14e8f9ec21ef26a9fd542eaf3ad44fe2,sha256:85fa53e1499460927108870b4f48c57a0d83ce68b88a89b40b354b2669afc8d8,10.1.0.135:10250,kubelet,/metrics/cadvisor,8817e7e3b2d726f8fa8c30043e96299c14e8f9ec21ef26a9fd542eaf3ad44fe2,default,fv-az241-934,k6,kubelet
container_fs_reads_bytes_total,"[1650030666.301, '5894144']","[1650030696.301, '5894144']","[1650030726.301, '5894144']","[1650030756.301, '5894144']","[1650030786.301, '7495680']","[1650030816.301, '7495680']","[1650030846.301, '7495680']","[1650030876.301, '7495680']","[1650030906.301, '7495680']","[1650030936.301, '7495680']","[1650030966.301, '7495680']","[1650030996.301, '7495680']","[1650031026.301, '7495680']",local-path-provisioner,/dev/sda,https-metrics,/kubepods/besteffort/pod3ecdce28-7cb1-4bb5-a92e-67541357f2f5/1324330eb3ad62e7b55955ac91c6f774773ed2a48264b7d9adf4d5265a2c589e,docker.io/rancher/local-path-provisioner:v0.0.21,10.1.0.135:10250,kubelet,/metrics/cadvisor,1324330eb3ad62e7b55955ac91c6f774773ed2a48264b7d9adf4d5265a2c589e,kube-system,fv-az241-934,local-path-provisioner-84bb864455-c6b8r,kubelet
container_fs_reads_bytes_total,"[1650030636.301, '429056']","[1650030666.301, '429056']","[1650030696.301, '429056']","[1650030726.301, '429056']","[1650030756.301, '429056']","[1650030786.301, '429056']","[1650030816.301, '429056']","[1650030846.301, '429056']","[1650030876.301, '429056']","[1650030906.301, '429056']","[1650030936.301, '429056']","[1650030966.301, '429056']","[1650030996.301, '429056']","[1650031026.301, '429056']",node-exporter,/dev/sda,https-metrics,/kubepods/burstable/pod9ecb2b2b-8730-4a58-ab6a-4748a28c9664/837cd787e87eb9c0732fd18a41081d4a894643843fa457bc3385a5aa87abe49a,quay.io/prometheus/node-exporter:v1.2.2,10.1.0.135:10250,kubelet,/metrics/cadvisor,837cd787e87eb9c0732fd18a41081d4a894643843fa457bc3385a5aa87abe49a,monitoring,fv-az241-934,node-exporter-rjz4n,kubelet
container_fs_reads_bytes_total,"[1650030636.301, '4096']","[1650030666.301, '4096']","[1650030696.301, '4096']","[1650030726.301, '4096']","[1650030756.301, '4096']","[1650030786.301, '4096']","[1650030816.301, '4096']","[1650030846.301, '4096']","[1650030876.301, '4096']","[1650030906.301, '4096']","[1650030936.301, '4096']","[1650030966.301, '4096']","[1650030996.301, '4096']","[1650031026.301, '4096']",prometheus,/dev/sda,https-metrics,/kubepods/burstable/pod0b10b410-d8ae-4095-b729-572899363744/fc46321993773c44ecbb2f4b36e7125b58d2c111b32a92c27f9eb5fdfae72a6b,quay.io/prometheus/prometheus:latest,10.1.0.135:10250,kubelet,/metrics/cadvisor,fc46321993773c44ecbb2f4b36e7125b58d2c111b32a92c27f9eb5fdfae72a6b,monitoring,fv-az241-934,prometheus-service-prometheus-0,kubelet
container_fs_reads_bytes_total,"[1650030636.301, '53248']","[1650030666.301, '53248']","[1650030696.301, '53248']","[1650030726.301, '53248']","[1650030756.301, '53248']","[1650030786.301, '53248']","[1650030816.301, '53248']","[1650030846.301, '53248']","[1650030876.301, '53248']","[1650030906.301, '53248']","[1650030936.301, '53248']","[1650030966.301, '53248']","[1650030996.301, '53248']","[1650031026.301, '53248']",prometheus,/dev/sda,https-metrics,/kubepods/burstable/pod38ef93f4-f00f-4482-ab0c-87c456906afb/19521a416a5baccdf30622436e1ad355eaf81e99c06813e8f84048357bbc234a,quay.io/prometheus/prometheus:v2.29.1,10.1.0.135:10250,kubelet,/metrics/cadvisor,19521a416a5baccdf30622436e1ad355eaf81e99c06813e8f84048357bbc234a,monitoring,fv-az241-934,prometheus-k8s-1,kubelet
container_fs_reads_bytes_total,"[1650030636.301, '4096']","[1650030666.301, '4096']","[1650030696.301, '4096']","[1650030726.301, '4096']","[1650030756.301, '4096']","[1650030786.301, '4096']","[1650030816.301, '4096']","[1650030846.301, '4096']","[1650030876.301, '4096']","[1650030906.301, '4096']","[1650030936.301, '4096']","[1650030966.301, '4096']","[1650030996.301, '4096']","[1650031026.301, '4096']",prometheus,/dev/sda,https-metrics,/kubepods/burstable/pod927bc9cf-06b0-40d8-8e1f-40596adacb30/eeca2d674db545730cfc7d912f2658df190e27a39b13f6e2a18df0ee62b76be4,quay.io/prometheus/prometheus:latest,10.1.0.135:10250,kubelet,/metrics/cadvisor,eeca2d674db545730cfc7d912f2658df190e27a39b13f6e2a18df0ee62b76be4,monitoring,fv-az241-934,prometheus-service-prometheus-1,kubelet
container_fs_reads_bytes_total,"[1650030636.301, '53248']","[1650030666.301, '53248']","[1650030696.301, '53248']","[1650030726.301, '53248']","[1650030756.301, '53248']","[1650030786.301, '53248']","[1650030816.301, '53248']","[1650030846.301, '53248']","[1650030876.301, '53248']","[1650030906.301, '53248']","[1650030936.301, '53248']","[1650030966.301, '53248']","[1650030996.301, '53248']","[1650031026.301, '53248']",prometheus,/dev/sda,https-metrics,/kubepods/burstable/pod94436539-7fbc-42e6-9377-d8ab997a2721/50cb614cc30f34f7aa84bb4b29dbc68678ce92610b2026cbd954e1547c288c97,quay.io/prometheus/prometheus:v2.29.1,10.1.0.135:10250,kubelet,/metrics/cadvisor,50cb614cc30f34f7aa84bb4b29dbc68678ce92610b2026cbd954e1547c288c97,monitoring,fv-az241-934,prometheus-k8s-0,kubelet
container_fs_reads_bytes_total,"[1650030876.301, '4096']","[1650030906.301, '4096']","[1650030936.301, '4096']","[1650030966.301, '4096']","[1650030996.301, '4096']","[1650031026.301, '4096']",prometheus-adapter,/dev/sda,https-metrics,/kubepods/burstable/pod04217a19-5a94-466c-bca4-fb65ef254a5b/00cf83360afebd5297dea5e2336f5dcb831b72c787b93a15afa6bde2a6cf596d,sha256:e45f535a68cc67ca35949e71c26ec1517f2a8fb4671cb27985f7f3809932333b,10.1.0.135:10250,kubelet,/metrics/cadvisor,00cf83360afebd5297dea5e2336f5dcb831b72c787b93a15afa6bde2a6cf596d,monitoring,fv-az241-934,prometheus-adapter-8587b9cf9b-zbdnb,kubelet
container_fs_reads_bytes_total,"[1650030636.301, '151552']","[1650030666.301, '151552']","[1650030696.301, '151552']","[1650030726.301, '151552']","[1650030756.301, '225280']","[1650030786.301, '225280']","[1650030816.301, '225280']","[1650030846.301, '688128']","[1650030876.301, '729088']","[1650030906.301, '729088']","[1650030936.301, '2969600']","[1650030966.301, '2969600']","[1650030996.301, '2969600']","[1650031026.301, '2969600']",traefik,/dev/sda,https-metrics,/kubepods/besteffort/poda98fa835-6645-424f-88f8-949b2b7e7ef6/13266f68f901e75f64e08e2e57cba09390a1f2400fb80ccff4050649516dc6ba,docker.io/rancher/mirrored-library-traefik:2.6.1,10.1.0.135:10250,kubelet,/metrics/cadvisor,13266f68f901e75f64e08e2e57cba09390a1f2400fb80ccff4050649516dc6ba,kube-system,fv-az241-934,traefik-56c4b88c4b-pw2wh,kubelet
